Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Family
0,3,male,28.0,7.55,NA,S,0
1,3,female,23.0,7.55,NA,S,0
0,3,male,28.0,7.8958,NA,S,0
1,2,female,18.0,23.0,NA,S,1
0,3,male,21.0,8.4333,NA,S,0
1,3,female,28.0,7.8292,NA,Q,0
0,3,female,18.0,6.75,NA,Q,0
0,2,male,24.0,73.5,NA,S,2
0,3,male,28.0,7.8958,NA,S,0
0,3,female,32.0,15.5,NA,Q,2
0,2,male,23.0,13.0,NA,S,0
0,1,male,58.0,113.275,D48,C,2
1,1,male,50.0,133.65,NA,S,2
0,3,male,40.0,7.225,NA,C,0
0,1,male,47.0,25.5875,E58,S,0
0,3,male,36.0,7.4958,NA,S,0
1,3,male,20.0,7.925,NA,S,1
0,2,male,32.0,73.5,NA,S,2
0,2,male,25.0,13.0,NA,S,0
0,3,male,28.0,7.775,NA,S,0
0,3,male,43.0,8.05,NA,S,0
1,1,female,28.0,52.0,C126,S,1
1,2,female,40.0,39.0,NA,S,2
0,1,male,31.0,52.0,B71,S,1
0,2,male,70.0,10.5,NA,S,0
1,2,male,31.0,13.0,NA,S,0
0,2,male,28.0,0.0,NA,S,0
0,3,male,18.0,7.775,NA,S,0
0,3,male,24.5,8.05,NA,S,0
1,3,female,18.0,9.8417,NA,S,0
0,3,female,43.0,46.9,NA,S,7
1,1,male,36.0,512.3292,B51 B53 B55,C,1
0,3,female,28.0,8.1375,NA,Q,0
1,1,male,27.0,76.7292,D49,C,0
0,3,male,20.0,9.225,NA,S,0
0,3,male,14.0,46.9,NA,S,7
0,2,male,60.0,39.0,NA,S,2
0,2,male,25.0,41.5792,NA,C,3
0,3,male,14.0,39.6875,NA,S,5
0,3,male,19.0,10.1708,NA,S,0
0,3,male,18.0,7.7958,NA,S,0
1,1,female,15.0,211.3375,B5,S,1
1,1,male,31.0,57.0,B20,S,1
1,3,female,4.0,13.4167,NA,C,1
1,3,male,28.0,56.4958,NA,S,0
0,3,male,25.0,7.225,NA,C,0
0,1,male,60.0,26.55,NA,S,0
0,2,male,52.0,13.5,NA,S,0
0,3,male,44.0,8.05,NA,S,0
1,3,female,28.0,7.7333,NA,Q,0
0,1,male,49.0,110.8833,C68,C,2
0,3,male,42.0,7.65,F G63,S,0
1,1,female,18.0,227.525,C62 C64,C,1
1,1,male,35.0,26.2875,E24,S,0
0,3,female,18.0,14.4542,NA,C,1
0,3,male,25.0,7.7417,NA,Q,0
0,3,male,26.0,7.8542,NA,S,1
0,2,male,39.0,26.0,NA,S,0
1,2,female,45.0,13.5,NA,S,0
1,1,male,42.0,26.2875,E24,S,0
1,1,female,22.0,151.55,NA,S,0
1,3,male,28.0,15.2458,NA,C,2
1,1,female,24.0,49.5042,C90,C,0
0,1,male,28.0,26.55,C124,S,0
1,1,male,48.0,52.0,C126,S,1
0,3,male,29.0,9.4833,NA,S,0
0,2,male,52.0,13.0,NA,S,0
0,3,male,19.0,7.65,F G73,S,0
1,1,female,38.0,227.525,C45,C,0
1,2,female,27.0,10.5,E101,S,0
0,3,male,28.0,15.5,NA,Q,0
0,3,male,33.0,7.775,NA,S,0
1,2,female,6.0,33.0,NA,S,1
0,3,male,17.0,7.0542,NA,S,1
0,2,male,34.0,13.0,NA,S,0
0,2,male,50.0,13.0,NA,S,0
1,1,male,27.0,53.1,E8,S,1
0,3,male,20.0,8.6625,NA,S,0
1,2,female,30.0,21.0,NA,S,3
1,3,female,28.0,7.7375,NA,Q,0
0,2,male,25.0,26.0,NA,S,1
0,3,female,25.0,7.925,NA,S,1
1,1,female,29.0,211.3375,B5,S,0
0,3,male,11.0,18.7875,NA,C,0
0,2,male,28.0,0.0,NA,S,0
0,2,male,23.0,13.0,NA,S,0
0,2,male,23.0,13.0,NA,S,0
0,3,male,28.5,16.1,NA,S,0
0,3,female,48.0,34.375,NA,S,4
1,1,male,35.0,512.3292,B101,C,0
0,3,male,28.0,7.8958,NA,S,0
0,3,male,28.0,7.8958,NA,S,0
1,1,male,28.0,30.0,D45,S,0
0,1,male,36.0,78.85,C46,S,1
1,1,female,21.0,262.375,B57 B59 B63 B66,C,4
0,3,male,24.0,16.1,NA,S,1
1,3,male,31.0,7.925,NA,S,0
0,1,male,70.0,71.0,B22,S,2
0,3,male,16.0,20.25,NA,S,2
1,2,female,30.0,13.0,NA,S,0
0,1,male,19.0,53.1,D30,S,1
0,3,male,31.0,7.75,NA,Q,0
1,2,female,4.0,23.0,NA,S,2
1,3,male,6.0,12.475,E121,S,1
0,3,male,33.0,9.5,NA,S,0
0,3,male,23.0,7.8958,NA,S,0
1,2,female,48.0,65.0,NA,S,3
1,2,male,0.67,14.5,NA,S,2
0,3,male,28.0,7.7958,NA,S,0
0,2,male,18.0,11.5,NA,S,0
0,3,male,34.0,8.05,NA,S,0
1,1,female,33.0,86.5,B77,S,0
0,3,male,28.0,14.5,NA,S,0
0,3,male,41.0,7.125,NA,S,0
1,3,male,20.0,7.2292,NA,C,0
1,1,female,36.0,120.0,B96 B98,S,3
0,3,male,16.0,7.775,NA,S,0
1,1,female,51.0,77.9583,D11,S,1
0,1,male,28.0,39.6,NA,C,0
0,3,female,30.5,7.75,NA,Q,0
0,3,male,28.0,24.15,NA,Q,1
0,3,male,32.0,8.3625,NA,S,0
0,3,male,24.0,9.5,NA,S,0
0,3,male,48.0,7.8542,NA,S,0
0,2,female,57.0,10.5,E77,S,0
0,3,male,28.0,7.225,NA,C,0
1,2,female,54.0,23.0,NA,S,4
0,3,male,18.0,7.75,NA,S,0
0,3,male,28.0,7.75,F38,Q,0
1,3,female,5.0,12.475,NA,S,0
0,3,male,28.0,7.7375,NA,Q,0
1,1,female,43.0,211.3375,B3,S,1
1,3,female,13.0,7.2292,NA,C,0
1,1,female,17.0,57.0,B20,S,1
0,1,male,29.0,30.0,D6,S,0
0,3,male,28.0,23.45,NA,S,3
0,3,male,25.0,7.05,NA,S,0
0,3,male,25.0,7.25,NA,S,0
1,3,female,18.0,7.4958,NA,S,0
0,3,male,8.0,29.125,NA,Q,5
1,3,male,1.0,20.575,NA,S,3
0,1,male,46.0,79.2,B82 B84,C,0
0,3,male,28.0,7.75,NA,Q,0
0,2,male,16.0,26.0,NA,S,0
0,3,female,28.0,69.55,NA,S,10
0,1,male,28.0,30.6958,NA,C,0
0,3,male,25.0,7.8958,NA,S,0
0,2,male,39.0,13.0,NA,S,0
1,1,female,49.0,25.9292,D17,S,0
1,3,female,31.0,8.6833,NA,S,0
0,3,male,30.0,7.2292,NA,C,0
0,3,female,30.0,24.15,NA,S,2
0,2,male,34.0,13.0,NA,S,0
1,2,female,31.0,26.25,NA,S,2
1,1,male,11.0,120.0,B96 B98,S,3
1,3,male,0.42,8.5167,NA,C,1
1,3,male,27.0,6.975,NA,S,0
0,3,male,31.0,7.775,NA,S,0
0,1,male,39.0,0.0,A36,S,0
0,3,female,18.0,7.775,NA,S,0
0,2,male,39.0,13.0,NA,S,0
1,1,female,33.0,53.1,E8,S,1
0,3,male,26.0,7.8875,NA,S,0
0,3,male,39.0,24.15,NA,S,0
0,2,male,35.0,10.5,NA,S,0
0,3,female,6.0,31.275,NA,S,6
0,3,male,30.5,8.05,NA,S,0
0,1,male,28.0,0.0,B102,S,0
0,3,female,23.0,7.925,NA,S,0
0,2,male,31.0,37.0042,NA,C,2
0,3,male,43.0,6.45,NA,S,0
0,3,male,10.0,27.9,NA,S,5
1,1,female,52.0,93.5,B69,S,2
1,3,male,27.0,8.6625,NA,S,0
0,1,male,38.0,0.0,NA,S,0
1,3,female,27.0,12.475,E121,S,1
0,3,male,2.0,39.6875,NA,S,5
0,3,male,28.0,6.95,NA,Q,0
0,3,male,28.0,56.4958,NA,S,0
1,2,male,1.0,37.0042,NA,C,2
1,3,male,28.0,7.75,NA,Q,0
1,1,female,62.0,80.0,B28,S,0
1,3,female,15.0,14.4542,NA,C,1
1,2,male,0.83,18.75,NA,S,2
0,3,male,28.0,7.2292,NA,C,0
0,3,male,23.0,7.8542,NA,S,0
0,3,male,18.0,8.3,NA,S,0
1,1,female,39.0,83.1583,E49,C,2
0,3,male,21.0,8.6625,NA,S,0
0,3,male,28.0,8.05,NA,S,0
1,3,male,32.0,56.4958,NA,S,0
1,1,male,28.0,29.7,C47,C,0
0,3,male,20.0,7.925,NA,S,0
0,2,male,16.0,10.5,NA,S,0
1,1,female,30.0,31.0,NA,C,0
0,3,male,34.5,6.4375,NA,C,0
0,3,male,17.0,8.6625,NA,S,0
0,3,male,42.0,7.55,NA,S,0
0,3,male,28.0,69.55,NA,S,10
0,3,male,35.0,7.8958,NA,C,0
0,2,male,28.0,33.0,NA,S,1
1,1,female,28.0,89.1042,C92,C,1
0,3,male,4.0,31.275,NA,S,6
0,3,male,74.0,7.775,NA,S,0
0,3,female,9.0,15.2458,NA,C,2
1,1,female,16.0,39.4,D28,S,1
0,2,female,44.0,26.0,NA,S,1
1,3,female,18.0,9.35,NA,S,1
1,1,female,45.0,164.8667,NA,S,2
1,1,male,51.0,26.55,E17,S,0
1,3,female,24.0,19.2583,NA,C,3
0,3,male,28.0,7.2292,NA,C,0
0,3,male,41.0,14.1083,NA,S,2
0,2,male,21.0,11.5,NA,S,1
1,1,female,48.0,25.9292,D17,S,0
0,3,female,28.0,69.55,NA,S,10
0,2,male,24.0,13.0,NA,S,0
1,2,female,42.0,13.0,NA,S,0
1,2,female,27.0,13.8583,NA,C,1
0,1,male,31.0,50.4958,A24,S,0
0,3,male,28.0,9.5,NA,S,0
1,3,male,4.0,11.1333,NA,S,2
0,3,male,26.0,7.8958,NA,S,0
1,1,female,47.0,52.5542,D35,S,2
0,1,male,33.0,5.0,B51 B53 B55,S,0
0,3,male,47.0,9.0,NA,S,0
1,2,female,28.0,24.0,NA,C,1
1,3,female,15.0,7.225,NA,C,0
0,3,male,20.0,9.8458,NA,S,0
0,3,male,19.0,7.8958,NA,S,0
0,3,male,28.0,7.8958,NA,S,0
1,1,female,56.0,83.1583,C50,C,1
1,2,female,25.0,26.0,NA,S,1
0,3,male,33.0,7.8958,NA,S,0
0,3,female,22.0,10.5167,NA,S,0
0,2,male,28.0,10.5,NA,S,0
0,3,male,25.0,7.05,NA,S,0
0,3,female,39.0,29.125,NA,Q,5
0,2,male,27.0,13.0,NA,S,0
1,1,female,19.0,30.0,B42,S,0
0,3,female,28.0,23.45,NA,S,3
1,1,male,26.0,30.0,C148,C,0
0,3,male,32.0,7.75,NA,Q,0
